como; how
que; that
ser; to be
para; for
con; with
uno; one
tener; to have
este; this
desde; from
por; by
caliente; hot
palabra; word
pero; but
qué; what
alguno; some
usted; you
lata; can
otro; other
hacer; to do
tiempo; time
cómo; how
dicho; said
cada; each
decir; to say
conjunto; set
tres; three
querer; to want
aire; air
así; so
también; also
jugar; to play
pequeño; small
fin; end
poner; to put
casa; house
leer; to read
mano; hand
puerto; port
grande; big
deletrear; to spell
añadir; to add
incluso; even
tierra; earth
aquí; here
deber; must
alto; high
tal; such
seguir; to follow
acto; act
preguntar; to ask
hombre; man
cambio; change
luz; light
tipo; kind
necesitar; to need
imagen; picture
tratar; to try
animal; animal
punto; point
madre; mother
mundo; world
cerca; near
construir; to build
auto; car
padre; father
cualquiera; any
nuevo; new
trabajo; work
parte; part
tomar; to take
conseguir; to get
lugar; place
hecho; fact
vivir; to live
donde; where
después; after
espalda; back
poco; little
sólo; only
ronda; round
año; year
venir; to come
show; show
buen; good
dar; to give
nuestro; our
bajo; under
nombre; name
mucho; much
forma; form
frase; sentence
gran; great
pensar; to think
ayudar; to help
línea; line
causa; cause
significar; to mean
antes; before
movimiento; movement
derecho; right
niño; child
viejo; old
demasiado; too much
mismo; same
todo; all
haber; to have (auxiliary)
cuando; when
hasta; until
uso; use
camino; way
acerca; about
entonces; then
escribir; to write
largo; long
cosa; thing
ver; to see
dos; two
buscar; to look for
más; more
día; day
poder; can / to be able to
número; number
sonar; to sound
persona; person
sobre; on / about
saber; to know
agua; water
llamado; called
primero; first
abajo; down
lado; side
estadir; state (likely misspelling of estar or estado)
ahora; now
encontrar; to find
cabeza; head
propio; own
página; page
país; country
encontrado; found
respuesta; answer
escuela; school
crecer; to grow
estudio; study
todavía; still
aprender; to learn
planta; plant
cubierto; covered
alimento; food
sol; sun
cuatro; four
entre; between
mantener; to keep
ojo; eye
nunca; never
último; last
dejar; to leave
pensado; thought
ciudad; city
árbol; tree
cruzar; to cross
granja; farm
duro; hard
inicio; start
historia; story
sierra; saw / mountain range
mar; sea
dibujar; to draw
izquierdo; left
tarde; late / afternoon
ejecutar; to run / execute
mientras; while
prensa; press
cerrar; to close
noche; night
real; real
vida; life
norte; north
libro; book
llevar; to carry
ciencia; science
comer; to eat
habitación; room
amigo; friend
comenzar; to begin
gustar; to like
pez; fish
montaña; mountain
deténgase; stop
base; base
escuchar; to listen
caballo; horse
cortado; cut
seguro; sure / safe
color; color
cara; face
madera; wood
principal; main
abierto; open
parecer; to seem
junto; together
próximo; next
blanco; white
conseguido; obtained
caminar; to walk
ejemplo; example
aliviar; to ease
papel; paper
grupo; group
siempre; always
música; music
ambos; both
marca; mark
menudo; often
carta; letter
milla; mile
río; river
coche; car
pie; foot
cuidado; care
segundo; second
suficiente; enough
llano; plain
chico; boy
habitual; usual
joven; young
listo; ready
rojo; red
aunque; although
sentir; to feel
pájaro; bird
pronto; soon
cuerpo; body
perro; dog
familia; family
directo; direct
plantear; to raise
